Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
Ander Herrera;31;Spain;79;Paris Saint-Germain;14.5M;Right;21;CDM
Fernandinho;36;Brazil;83;Manchester City;7M;Right;25;CDM
M. Uribe;30;Colombia;79;FC Porto;17M;Right;8;CM
G. Bonaventura;31;Italy;78;Fiorentina;11.5M;Right;5;CM
G. Kondogbia;28;Central African Republic;79;Atlético de Madrid;17.5M;Left;4;CM
Lucas Vázquez;30;Spain;81;Real Madrid CF;25M;Right;17;RW
16 Michel Bastos;31;Brazil;78;São Paulo;7M;Left;7;LM
K. Laimer;24;Austria;81;RB Leipzig;33.5M;Right;27;RWB
16 Maicon;33;Brazil;77;Roma;2.9M;Right;13;RWB
T. Müller;31;Germany;87;FC Bayern München;66M;Right;25;CAM
17 B. Trémoulinas;30;France;81;Sevilla FC;11.5M;Left;2;LB
A. Rabiot;26;France;81;Juventus;30M;Left;25;CM
16 Raúl Meireles;32;Portugal;76;Fenerbahçe SK;4M;Right;14;CM
J. Vardy;34;England;86;Leicester City;33M;Right;9;ST
J. Kucka;34;Slovakia;77;Watford;4.9M;Right;33;CB
P. Dybala;27;Argentina;87;Juventus;93M;Left;10;CAM
T. Savanier;29;France;80;Montpellier Hérault SC;20.5M;Right;11;CAM
Campaña;28;Spain;82;Levante Unión Deportiva;30.5M;Right;24;CM
21 Hulk;33;Brazil;80;Shanghai Port FC;13M;Left;10;LW
Adryan Zonta;29;Brazil;81;RB Bragantino;22.5M;Left;6;LWB
Jorginho;29;Italy;85;Chelsea;52.5M;Right;5;CM
Jonathan Viera;31;Spain;81;Unión Deportiva Las Palmas;21.5M;Right;21;CAM
Gerson;24;Brazil;80;Olympique de Marseille;30M;Left;8;CDM
I. Rakitić;33;Croatia;82;Sevilla FC;18.5M;Right;10;CM
Marcos Alonso;30;Spain;79;Chelsea;15M;Left;3;LWB
Allan;30;Brazil;83;Everton;30.5M;Right;6;CDM
L. Shaw;25;England;84;Manchester United;48.5M;Left;23;LB
R. Vormer;33;Netherlands;78;Club Brugge KV;8.5M;Right;25;CM
21 Santi Cazorla;35;Spain;82;;0;Right;20;CM
Bernardo Silva;26;Portugal;86;Manchester City;74M;Left;20;CAM
C. Erkin;32;Turkey;75;Fatih Karagümrük S.K.;3.9M;Left;88;LB
Danilo;29;Brazil;81;Juventus;22.5M;Right;6;RB
A. Correa;26;Argentina;83;Atlético de Madrid;48M;Right;10;CAM
C. Nkunku;23;France;81;RB Leipzig;39M;Right;18;CAM
M. Reus;32;Germany;85;Borussia Dortmund;43M;Right;11;CAM
João Moutinho;34;Portugal;80;Wolverhampton Wanderers;9.5M;Right;28;CM
D. Caligiuri;33;Italy;77;FC Augsburg;6.5M;Right;20;RM
K. Volland;28;Germany;83;AS Monaco;37M;Left;31;ST
B. Bourigeaud;27;France;78;Stade Rennais FC;16M;Right;14;CM
M. Kovačić;27;Croatia;83;Chelsea;41.5M;Right;8;CM
Juan Bernat;28;Spain;82;Paris Saint-Germain;27.5M;Left;14;LB
Richarlison;24;Brazil;82;Everton;46.5M;Right;7;ST
D. Klaassen;28;Netherlands;79;Ajax;17.5M;Right;6;CAM
Carvajal;29;Spain;85;Real Madrid CF;47.5M;Right;2;RB
Rafinha;28;Brazil;80;Paris Saint-Germain;21M;Left;12;CM
E. Bardhi;25;North Macedonia;79;Levante Unión Deportiva;21M;Right;10;CAM
A. Oxlade-Chamberlain;27;England;79;Liverpool;18.5M;Right;15;CAM
M. Casco;33;Argentina;77;River Plate;5.5M;Right;20;LB
M. Dembélé;33;Belgium;79;Guangzhou City;11M;Left;8;CM
O. Trejo;33;Argentina;75;Rayo Vallecano;3.5M;Right;8;CAM
R. Karsdorp;26;Netherlands;78;Roma;16.5M;Right;2;RWB
B. André;30;France;81;LOSC Lille;21.5M;Right;21;CDM
19 Ramires;31;Brazil;80;Jiangsu FC;10M;Right;7;CDM
Morales;33;Spain;81;Levante Unión Deportiva;16.5M;Right;11;ST
K. Boateng;34;Ghana;78;Hertha BSC;6.5M;Right;27;CAM
Gerard Moreno;29;Spain;86;Villarreal CF;68M;Left;7;ST
T. Ndombele;24;France;82;Tottenham Hotspur;46M;Right;28;CAM
M. de Roon;30;Netherlands;82;Atalanta;25.5M;Right;15;CDM
N. Fekir;27;France;84;Real Betis Balompié;45M;Left;8;CAM
R. Pereyra;30;Argentina;80;Udinese Calcio;20M;Right;37;CM
K. Benzema;33;France;89;Real Madrid CF;66M;Right;9;CF
M. Sanson;26;France;76;Aston Villa;9M;Right;8;CAM
18 Gabi;33;Spain;81;Atlético de Madrid;10.5M;Right;14;CM
N. Stanciu;28;Romania;78;SK Slavia Praha;14M;Right;7;CAM
G. Moreno;35;Colombia;77;Shanghai Shenhua FC;4.5M;Left;10;ST
D. Alli;25;England;80;Tottenham Hotspur;26.5M;Right;20;CAM
H. Aouar;23;France;81;Olympique Lyonnais;39M;Right;8;CAM
P. Zieliński;27;Poland;81;Napoli;29.5M;Right;20;CAM
M. Antonio;31;Jamaica;79;West Ham United;15M;Right;9;ST
A. Davies;20;Canada;82;FC Bayern München;57M;Left;19;LB
Fabián;25;Spain;82;Napoli;42M;Left;8;CM
17 Maxwell;34;Brazil;79;Paris Saint-Germain;2.9M;Left;17;LWB
E. Pérez;35;Argentina;80;River Plate;6M;Right;24;CDM
19 Y. Rakitskyi;28;Ukraine;80;Shakhtar Donetsk;12M;Left;44;CDM
M. Locatelli;23;Italy;82;Juventus;42M;Right;27;CM
18 Eliseu;33;Portugal;76;SL Benfica;3M;Left;19;LB
M. Arnautović;32;Austria;81;Bologna;21M;Right;9;ST
W. Ndidi;24;Nigeria;85;Leicester City;66.5M;Right;25;CB
Álex Berenguer;25;Spain;80;Athletic Club de Bilbao;25M;Right;7;RM
R. Sterling;26;England;88;Manchester City;107.5M;Right;7;LW
P. Max;27;Germany;80;PSV;22M;Left;31;LB
A. Guardado;34;Mexico;78;Real Betis Balompié;4.8M;Left;18;CDM
G. Di Lorenzo;27;Italy;80;Napoli;20.5M;Right;22;RB
Gabriel;27;Brazil;76;SL Benfica;8M;Left;8;CM
M. Camara;24;Guinea;77;Olympiacos CFP;16M;Right;4;CM
L. Spinazzola;28;Italy;83;Roma;33M;Right;37;LWB
21 Wendel;22;Brazil;79;Sporting CP;39.5M;Right;37;CAM
A. Claude-Maurice;23;France;77;OGC Nice;16.5M;Right;10;CAM
T. Souček;26;Czech Republic;82;West Ham United;36M;Right;28;CDM
D. Tadić;32;Serbia;84;Ajax;33.5M;Left;10;LW
R. Delgado;31;Argentina;74;Club Atlético Colón;2.9M;Left;40;CB
W. Ben Yedder;30;France;84;AS Monaco;41.5M;Right;10;CF
R. Skov;25;Denmark;75;TSG Hoffenheim;7.5M;Left;29;LM
Cucurella;22;Spain;81;Brighton & Hove Albion;41.5M;Left;3;LM
19 F. Guarín;32;Colombia;74;Shanghai Shenhua FC;3.2M;Right;13;CAM
J. McGinn;26;Scotland;78;Aston Villa;16.5M;Left;7;CM
M. Faraoni;29;Italy;77;Hellas Verona;9.5M;Right;5;RWB
R. Rodríguez;28;Switzerland;76;Torino F.C.;7M;Left;13;LB
M. Wakaso;30;Ghana;71;Shenzhen FC;1.8M;Left;22;CDM
Y. Bissouma;24;Mali;79;Brighton & Hove Albion;24.5M;Right;8;CM
V. van Dijk;29;Netherlands;89;Liverpool;86M;Right;4;CB
Ai Kesen;31;China PR;79;Guangzhou FC;15M;Right;9;ST
Gedson Fernandes;22;Portugal;77;SL Benfica;17M;Right;83;CAM
15 Xavi;34;Spain;86;FC Barcelona;15.5M;Right;6;CAM
K. Demirbay;27;Germany;79;Bayer 04 Leverkusen;18.5M;Left;10;CM
S. McTominay;24;Scotland;80;Manchester United;27.5M;Right;39;CDM
I. Gueye;31;Senegal;82;Paris Saint-Germain;21.5M;Right;27;CDM
D. Suárez;33;Uruguay;78;Getafe CF;7.5M;Right;22;RB
19 Jefferson;29;Brazil;74;Sporting CP;4.3M;Left;5;LWB
Embarba;29;Spain;80;RCD Espanyol de Barcelona;20.5M;Right;23;RM
E. Haaland;20;Norway;88;Borussia Dortmund;137.5M;Left;9;ST
A. Silva;31;Uruguay;75;Club Olimpia;4.7M;Right;3;RM
T. Holeš;28;Czech Republic;77;SK Slavia Praha;10M;Right;3;CB
Gerson Armão;21;Brazil;78;Internacional;15M;Left;15;LB
A. Rebić;27;Croatia;82;AC Milan;32.5M;Right;12;LM
L. Advíncula;31;Peru;75;Boca Juniors;4.1M;Right;17;RB
M. Cornet;24;Côte d'Ivoire;75;Burnley;7M;Left;20;ST
R. Bentancur;24;Uruguay;78;Juventus;21M;Right;30;CDM
M. Mount;22;England;83;Chelsea;58.5M;Right;19;CAM
Melvin Parrela;21;Brazil;79;RB Bragantino;18.5M;Right;8;CB
Raphinha;24;Brazil;82;Leeds United;46M;Left;10;LM
L. Torreira;25;Uruguay;80;Fiorentina;26.5M;Right;18;CDM
R. James;21;England;81;Chelsea;37M;Right;24;RWB
Ronaldo Cabrais;29;Brazil;83;Grêmio;35.5M;Right;7;RM
Rodri;25;Spain;86;Manchester City;81M;Right;16;CDM
D. Blind;31;Netherlands;82;Ajax;21M;Left;17;CB
Gayà;26;Spain;83;Valencia CF;43.5M;Left;14;LWB
E. Salvio;30;Argentina;80;Boca Juniors;20.5M;Right;11;RM
R. Baku;23;Germany;80;VfL Wolfsburg;32M;Right;20;RM
R. Tapia;25;Peru;79;RC Celta de Vigo;22M;Right;14;CB
Mário Fernandes;30;Russia;82;PFC CSKA Moscow;26.5M;Right;2;RB
Andreas Pereira;24;Brazil;76;Manchester United;10M;Right;15;CAM
U. Račić;23;Serbia;78;Valencia CF;28M;Right;8;CM
Pedro Gonçalves;23;Portugal;81;Sporting CP;51.5M;Right;28;CAM
Sergi Darder;27;Spain;79;RCD Espanyol de Barcelona;20M;Right;10;CM
F. Coquelin;30;France;80;Villarreal CF;20M;Right;19;CM
A. Young;35;England;78;Aston Villa;4.3M;Right;18;LWB
Diogo Gonçalves;24;Portugal;76;SL Benfica;12M;Right;17;CAM
J. Lingard;28;England;79;Manchester United;17.5M;Right;14;CAM
A. Tchouaméni;21;France;79;AS Monaco;28M;Right;8;CM
E. Cavani;34;Uruguay;85;Manchester United;26M;Right;21;ST
R. Bazoer;24;Netherlands;76;Vitesse;9.5M;Right;10;CM
L. Dendoncker;26;Belgium;77;Wolverhampton Wanderers;13.5M;Right;32;CM
21 Fernando;28;Brazil;79;Beijing Guoan FC;15.5M;Right;11;CDM
21 M. Parolo;35;Italy;79;Lazio;4.9M;Right;16;CDM
N. Gudelj;29;Serbia;79;Sevilla FC;15M;Right;6;CDM
R. Soriano;30;Italy;78;Bologna;13.5M;Right;21;CAM
Roberto Torres;32;Spain;78;CA Osasuna;11M;Right;10;RM
R. Perraud;23;France;77;Southampton;15.5M;Left;15;LWB
L. Olaza;26;Uruguay;78;Real Valladolid CF;15M;Left;21;LB
R. Jiménez;30;Mexico;83;Wolverhampton Wanderers;35.5M;Right;9;ST
P. Højbjerg;25;Denmark;83;Tottenham Hotspur;43.5M;Right;5;CDM
F. Bernardeschi;27;Italy;79;Juventus;18.5M;Left;20;CAM
J. Rodríguez;29;Colombia;81;Everton;25.5M;Left;19;CAM
M. Ødegaard;22;Norway;82;Arsenal;49M;Left;8;CAM
K. Phillips;25;England;81;Leeds United;32.5M;Right;23;CDM
D. Kulusevski;21;Sweden;81;Juventus;58M;Left;44;LM
W. Cyprien;26;France;73;FC Nantes;3.6M;Right;8;CAM
B. Matuidi;34;France;79;Inter Miami CF;6M;Left;8;CDM
E. Camavinga;18;France;78;Real Madrid CF;29.5M;Left;25;CM
M. Oršić;28;Croatia;77;Dinamo Zagreb;10.5M;Right;99;RW
Otávio;26;Portugal;81;FC Porto;30.5M;Right;16;LM
J. Fleck;29;Scotland;75;Sheffield United;5.5M;Left;4;CM
Lucas Moura;28;Brazil;81;Tottenham Hotspur;26M;Right;27;RM
T. Hazard;28;Belgium;82;Borussia Dortmund;30.5M;Right;10;LM
J. Maddison;24;England;82;Leicester City;41.5M;Right;10;CAM
Y. Carrasco;27;Belgium;84;Atlético de Madrid;45M;Right;21;LM
A. Doucouré;28;France;79;Everton;17.5M;Right;16;CM
21 B. Ndiaye;29;Senegal;73;Al Ain;3M;Right;6;RWB
Andeson Trigo;33;Brazil;77;Fluminense;5.5M;Left;7;LB
M. Suárez;33;Argentina;79;River Plate;11M;Right;7;CAM
R. Aliendro;30;Argentina;75;Club Atlético Colón;5.5M;Right;29;CM
S. Aurier;27;Côte d'Ivoire;80;Tottenham Hotspur;20.5M;Right;24;RB
Unai López;25;Spain;77;Rayo Vallecano;14.5M;Right;12;CAM
H. Ziyech;28;Morocco;84;Chelsea;42.5M;Left;22;RW
Luis Milla;26;Spain;78;Granada CF;17.5M;Right;5;CM
Coutinho;29;Brazil;82;FC Barcelona;30M;Right;14;CAM
V. Darida;30;Czech Republic;76;Hertha BSC;7M;Right;6;CM
R. Andrich;26;Germany;76;Bayer 04 Leverkusen;9M;Right;8;CM
20 Y. Cabaye;33;France;76;AS Saint-Étienne;4.5M;Right;29;CM
H. Çalhanoğlu;27;Turkey;82;Inter;35M;Right;20;CAM
21 K. Asamoah;31;Ghana;74;Cagliari;3.5M;Left;19;CDM
E. Mwepu;23;Zambia;75;Brighton & Hove Albion;9M;Right;12;CAM
Rubén Alcaraz;30;Spain;74;Real Valladolid CF;4M;Right;14;CDM
20 D. De Rossi;35;Italy;82;Boca Juniors;7M;Right;16;CB
O. Tufan;26;Turkey;76;Watford;9.5M;Right;18;CM
K. Tierney;24;Scotland;80;Arsenal;31M;Left;3;LWB
V. Rongier;26;France;77;Olympique de Marseille;13.5M;Right;21;CDM
Melero;27;Spain;77;Levante Unión Deportiva;12M;Right;22;CM
13 Hugo Viana;29;Portugal;78;SC Braga;4.7M;Left;45;CAM
21 S. Lulić;34;Bosnia and Herzegovina;76;Lazio;3.5M;Right;19;LM
S. Tonali;21;Italy;77;AC Milan;22.5M;Right;8;CM
A. Ramsey;30;Wales;80;Juventus;20M;Right;8;CM
O. Etebo;25;Nigeria;72;Watford;3.2M;Right;4;CDM
Zubeldia;24;Spain;79;Real Sociedad;24M;Right;5;CDM
M. Götze;29;Germany;82;PSV;30M;Right;27;CAM
17 Felipe Melo;33;Brazil;78;Inter;3.8M;Right;83;CB
V. Moses;30;Nigeria;78;Spartak Moskva;13.5M;Right;8;RM
J. Akpa Akpro;28;Côte d'Ivoire;75;Lazio;5.5M;Right;8;RM
M. Depay;27;Netherlands;85;FC Barcelona;63M;Right;9;CF
N. Tagliafico;28;Argentina;82;Ajax;27.5M;Left;31;LB
G. Krychowiak;31;Poland;80;;0;Right;10;CDM
A. Browne;26;Republic of Ireland;73;Preston North End;4M;Right;8;CM
S. Gnabry;25;Germany;85;FC Bayern München;64.5M;Right;7;RM
N. Nández;25;Uruguay;77;Cagliari;15.5M;Right;18;CDM
L. Sané;25;Germany;84;FC Bayern München;56M;Left;10;ST
F. Angileri;27;Argentina;77;River Plate;11M;Left;3;LB
C. Roldan;26;United States;75;Seattle Sounders FC;6.5M;Right;7;CM
D. Sow;24;Switzerland;77;Eintracht Frankfurt;14.5M;Right;8;CDM
Q. Promes;29;Netherlands;80;Spartak Moskva;20.5M;Right;24;RM
20 Mariano;33;Brazil;77;Galatasaray SK;4M;Right;22;RB
V. Coufal;28;Czech Republic;80;West Ham United;19M;Right;5;RB
S. Armstrong;29;Scotland;77;Southampton;10.5M;Right;17;RM
Maurício;32;Brazil;75;Panathinaikos FC;3.7M;Right;88;CDM
Everticinho;21;Brazil;78;RB Bragantino;15M;Right;21;RB
21 A. Valencia;34;Ecuador;78;Gallos Blancos de Querétaro;5M;Right;14;RB
21 A. Ayew;30;Ghana;76;Swansea City;7.5M;Left;10;ST
J. Bellingham;18;England;79;Borussia Dortmund;37M;Right;22;CM
V. Guzmán;26;Mexico;75;Pachuca;7.5M;Right;6;CAM
A. Mooy;30;Australia;77;Shanghai Port FC;10M;Right;8;CM
J. Schmid;31;France;76;Sport-Club Freiburg;5.5M;Right;7;RB
T. Meunier;29;Belgium;77;Borussia Dortmund;9.5M;Right;24;RB
14 C. Seedorf;37;Netherlands;82;Botafogo;2.2M;Right;10;CAM
O. Selnæs;26;Norway;74;Hebei FC;4.9M;Left;6;CM
J. Draxler;27;Germany;80;Paris Saint-Germain;22.5M;Right;23;CAM
Thiago Mendes;29;Brazil;77;Olympique Lyonnais;9M;Right;23;CDM
M. Halstenberg;29;Germany;78;RB Leipzig;12M;Left;23;CB
P. van Aanholt;30;Netherlands;76;Galatasaray SK;6.5M;Left;6;LB
F. Gorriarán;26;Uruguay;77;Santos Laguna;12.5M;Right;11;CM
S. Schwab;30;Austria;75;PAOK;5.5M;Left;22;CM
Marquinhos;27;Brazil;87;Paris Saint-Germain;90.5M;Right;5;CB
21 S. Sessègnon;36;Benin;74;Gençlerbirliği SK;1.4M;Right;17;RM
R. Gravenberch;19;Netherlands;78;Ajax;33M;Right;8;CAM
Y. Belhanda;31;Morocco;74;Adana Demirspor;3.5M;Right;10;CAM
19 Y. Touré;35;Côte d'Ivoire;80;Olympiacos CFP;6M;Right;42;CM
Muniain;28;Spain;83;Athletic Club de Bilbao;36.5M;Right;10;CAM
Rubén Peña;29;Spain;79;Villarreal CF;15.5M;Right;20;RB
M. van Ginkel;28;Netherlands;76;PSV;7.5M;Right;8;CM
E. Lamela;29;Argentina;78;Sevilla FC;14M;Left;17;CAM
